               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision1,      metrics/recall1,     metrics/mAP_0.51,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,,   metrics/precision,,      metrics/recall,     metrics/mAP_0.5
87,0.02327,0.0063097,0.006902,0.97554,0.97182,0.98791,0.82085,0.016268,0.0032569,0.0021607,0.008452,0.008452,0.008452,,0.6633672,,,0.8397235
88,0.023777,0.0065239,0.0065538,0.97204,0.96868,0.99007,0.81675,0.016241,0.0033132,0.0021004,0.008434,0.008434,0.008434,,0.6609872,,,0.8415595
89,0.023305,0.0064672,0.0062526,0.97386,0.95391,0.98712,0.81534,0.016689,0.00347,0.0024063,0.008416,0.008416,0.008416,,0.6622248,,,0.839052
90,0.023226,0.00639,0.0067509,0.97894,0.98093,0.98959,0.82726,0.016096,0.0032134,0.0020409,0.008398,0.008398,0.008398,,0.6656792,,,0.8411515
91,0.023062,0.0063625,0.006243,0.97355,0.96116,0.98656,0.82484,0.016121,0.0032359,0.0024038,0.00838,0.00838,0.00838,,0.662014,,,0.838576
92,0.023082,0.006203,0.0061395,0.98326,0.97354,0.99155,0.8285,0.016041,0.0032307,0.0018933,0.008362,0.008362,0.008362,,0.6686168,,,0.8428175
93,0.023161,0.0063007,0.0061462,0.97208,0.97703,0.98976,0.81801,0.016248,0.0033188,0.0020115,0.008344,0.008344,0.008344,,0.6610144,,,0.841296
94,0.022754,0.0061978,0.0064433,0.98441,0.97257,0.99147,0.8243,0.01601,0.0032609,0.001912,0.008326,0.008326,0.008326,,0.6693988,,,0.8427495
95,0.02335,0.0063474,0.0062281,0.97633,0.97141,0.98843,0.82199,0.01604,0.0031887,0.0021097,0.008308,0.008308,0.008308,,0.6639044,,,0.8401655
96,0.022498,0.0061916,0.0060323,0.98459,0.97424,0.99126,0.82884,0.015975,0.0031661,0.0019132,0.00829,0.00829,0.00829,,0.6695212,,,0.842571
97,0.022302,0.0059801,0.0060013,0.98201,0.97369,0.98847,0.823,0.01603,0.0032371,0.0020443,0.008272,0.008272,0.008272,,0.6677668,,,0.8401995
98,0.022788,0.0062912,0.0058969,0.97686,0.96792,0.98896,0.81889,0.01608,0.0032616,0.0020881,0.008254,0.008254,0.008254,,0.6642648,,,0.840616
99,0.023323,0.0063247,0.0061652,0.98034,0.97915,0.98911,0.82838,0.016249,0.0031915,0.0020279,0.008236,0.008236,0.008236,,0.6666312,,,0.8407435
100,0.02295,0.0062946,0.0060575,0.97298,0.96817,0.98585,0.82109,0.016122,0.0032324,0.002283,0.008218,0.008218,0.008218,,0.6616264,,,0.8379725
101,0.022876,0.006438,0.0059965,0.97396,0.97829,0.98794,0.82688,0.015957,0.0032663,0.0019322,0.0082,0.0082,0.0082,,0.6622928,,,0.839749
102,0.023039,0.0064462,0.0058106,0.97746,0.97822,0.99085,0.82857,0.015893,0.0031716,0.0018453,0.008182,0.008182,0.008182,,0.6646728,,,0.8422225
103,0.023049,0.0062182,0.0064724,0.97141,0.97821,0.99032,0.82411,0.016091,0.0032289,0.0019953,0.008164,0.008164,0.008164,,0.6605588,,,0.841772
104,0.023002,0.0062248,0.0062235,0.98025,0.97905,0.98948,0.82717,0.015955,0.0031595,0.001901,0.008146,0.008146,0.008146,,0.66657,,,0.841058
105,0.022554,0.0061673,0.0057688,0.98645,0.98247,0.99146,0.82713,0.015778,0.0031332,0.0016251,0.008128,0.008128,0.008128,,0.670786,,,0.842741
106,0.022366,0.0062089,0.0056387,0.98302,0.9788,0.9912,0.82807,0.015708,0.0031449,0.0016599,0.00811,0.00811,0.00811,,0.6684536,,,0.84252
107,0.022216,0.0060163,0.0059038,0.98698,0.97698,0.99187,0.82969,0.015694,0.0031151,0.0016481,0.008092,0.008092,0.008092,,0.6711464,,,0.8430895
108,0.022079,0.0061585,0.0057978,0.97352,0.9818,0.98914,0.83056,0.015709,0.0031826,0.0018701,0.008074,0.008074,0.008074,,0.6619936,,,0.840769
109,0.022626,0.0060786,0.0058153,0.97855,0.98585,0.98874,0.82268,0.015907,0.0031863,0.0016862,0.008056,0.008056,0.008056,,0.665414,,,0.840429
110,0.022644,0.0060096,0.0056783,0.97364,0.98366,0.9885,0.82287,0.01585,0.003229,0.0018401,0.008038,0.008038,0.008038,,0.6620752,,,0.840225
111,0.022094,0.0059433,0.005544,0.9869,0.98347,0.99075,0.82353,0.016308,0.0031618,0.0015698,0.00802,0.00802,0.00802,,0.671092,,,0.8421375
112,0.023438,0.0062136,0.0068719,0.97592,0.97703,0.98921,0.82593,0.016147,0.003177,0.0019706,0.008002,0.008002,0.008002,,0.6636256,,,0.8408285
113,0.022599,0.0060894,0.0055716,0.98954,0.98083,0.99147,0.83009,0.015751,0.0031675,0.0015857,0.007984,0.007984,0.007984,,0.6728872,,,0.8427495
114,0.022679,0.0062419,0.005522,0.98705,0.97809,0.99229,0.83165,0.015654,0.0031529,0.0016032,0.007966,0.007966,0.007966,,0.671194,,,0.8434465
115,0.022376,0.0060881,0.005553,0.9814,0.98489,0.99167,0.82463,0.015569,0.0031294,0.0016382,0.007948,0.007948,0.007948,,0.667352,,,0.8429195
116,0.022641,0.0063251,0.0058348,0.97294,0.97151,0.98782,0.82849,0.015381,0.0031393,0.0019314,0.00793,0.00793,0.00793,,0.6615992,,,0.839647
117,0.022304,0.0061718,0.0059736,0.98501,0.97751,0.99044,0.82712,0.015653,0.0031336,0.0016989,0.007912,0.007912,0.007912,,0.6698068,,,0.841874
118,0.021637,0.0059641,0.0052861,0.98462,0.98503,0.99188,0.83888,0.015338,0.003047,0.0015489,0.007894,0.007894,0.007894,,0.6695416,,,0.843098
119,0.022002,0.0062406,0.0056651,0.98624,0.97989,0.98938,0.83112,0.015688,0.0031458,0.0015819,0.007876,0.007876,0.007876,,0.6706432,,,0.840973
120,0.021989,0.006098,0.0055592,0.9806,0.98291,0.99156,0.83046,0.015228,0.0030977,0.0016133,0.007858,0.007858,0.007858,,0.666808,,,0.842826
121,0.021815,0.0060658,0.0053317,0.98795,0.97645,0.99169,0.83003,0.015566,0.003161,0.001526,0.00784,0.00784,0.00784,,0.671806,,,0.8429365
122,0.021852,0.0059809,0.0056076,0.98492,0.98311,0.9909,0.83741,0.015416,0.0031142,0.0015107,0.007822,0.007822,0.007822,,0.6697456,,,0.842265
123,0.022203,0.0061978,0.0060323,0.98491,0.97793,0.99001,0.83615,0.015445,0.0031129,0.0016227,0.007804,0.007804,0.007804,,0.6697388,,,0.8415085
124,0.021922,0.0061237,0.0057589,0.97972,0.98577,0.99116,0.83339,0.015511,0.0031366,0.0015253,0.007786,0.007786,0.007786,,0.6662096,,,0.842486
125,0.0226,0.0060379,0.0056748,0.98417,0.98533,0.99008,0.83261,0.015377,0.0031269,0.0014299,0.007768,0.007768,0.007768,,0.6692356,,,0.841568
126,0.022096,0.0060706,0.0051537,0.98421,0.97344,0.99125,0.83972,0.015137,0.0031408,0.0015715,0.00775,0.00775,0.00775,,0.6692628,,,0.8425625
127,0.020935,0.0057917,0.0053692,0.98768,0.9808,0.99122,0.83308,0.015311,0.0031249,0.001408,0.007732,0.007732,0.007732,,0.6716224,,,0.842537
128,0.021626,0.0059752,0.0053335,0.9832,0.98519,0.99141,0.83334,0.015294,0.0030782,0.0014652,0.007714,0.007714,0.007714,,0.668576,,,0.8426985
129,0.021595,0.0060448,0.0051935,0.98533,0.982,0.99134,0.83312,0.015318,0.0031399,0.001473,0.007696,0.007696,0.007696,,0.6700244,,,0.842639
130,0.021983,0.0062081,0.0060482,0.97515,0.9806,0.99076,0.83599,0.015294,0.0031171,0.0017026,0.007678,0.007678,0.007678,,0.663102,,,0.842146
131,0.021316,0.0058854,0.0051986,0.98888,0.98047,0.99202,0.83739,0.015392,0.0030381,0.0014817,0.00766,0.00766,0.00766,,0.6724384,,,0.843217
132,0.021464,0.005838,0.0053209,0.98626,0.97806,0.99175,0.83668,0.015283,0.0031192,0.001515,0.007642,0.007642,0.007642,,0.6706568,,,0.8429875
133,0.021939,0.0061114,0.0054268,0.98213,0.98112,0.99263,0.8329,0.01538,0.0031219,0.0015439,0.007624,0.007624,0.007624,,0.6678484,,,0.8437355
134,0.021187,0.0060089,0.005282,0.98732,0.98619,0.99373,0.83896,0.015182,0.0030483,0.0012331,0.007606,0.007606,0.007606,,0.6713776,,,0.8446705
135,0.021474,0.0060088,0.0054432,0.98809,0.98316,0.99207,0.83277,0.015592,0.0030546,0.0014019,0.007588,0.007588,0.007588,,0.6719012,,,0.8432595
136,0.021477,0.0058309,0.0052553,0.99213,0.98258,0.99271,0.83687,0.015105,0.0030431,0.0012539,0.00757,0.00757,0.00757,,0.6746484,,,0.8438035
137,0.020717,0.0057187,0.0050637,0.98873,0.98227,0.99148,0.83661,0.015089,0.0030687,0.0013763,0.007552,0.007552,0.007552,,0.6723364,,,0.842758
138,0.021195,0.0058077,0.0050045,0.98944,0.98349,0.99174,0.84513,0.015089,0.0030526,0.0013532,0.007534,0.007534,0.007534,,0.6728192,,,0.842979
139,0.022032,0.0059986,0.0055437,0.98572,0.98427,0.98881,0.83555,0.015097,0.0030698,0.0013636,0.007516,0.007516,0.007516,,0.6702896,,,0.8404885
140,0.020919,0.0059083,0.0052093,0.98227,0.97996,0.98935,0.83536,0.015097,0.0030365,0.0015227,0.007498,0.007498,0.007498,,0.6679436,,,0.8409475
141,0.021811,0.0060059,0.0052273,0.98664,0.98018,0.9915,0.84082,0.015056,0.0030258,0.0013038,0.00748,0.00748,0.00748,,0.6709152,,,0.842775
142,0.02081,0.0059212,0.0051105,0.98239,0.98409,0.99106,0.83875,0.015021,0.0030243,0.0013814,0.007462,0.007462,0.007462,,0.6680252,,,0.842401
143,0.022324,0.0067117,0.005339,0.98448,0.98174,0.98984,0.83733,0.015021,0.0030705,0.0014433,0.007444,0.007444,0.007444,,0.6694464,,,0.841364
144,0.021009,0.0056319,0.0050606,0.98768,0.98508,0.99124,0.83589,0.015134,0.0030887,0.0012253,0.007426,0.007426,0.007426,,0.6716224,,,0.842554
145,0.020983,0.0057966,0.0050343,0.98664,0.97593,0.99049,0.836,0.015178,0.0030835,0.0014406,0.007408,0.007408,0.007408,,0.6709152,,,0.8419165
146,0.021778,0.0059678,0.0052446,0.97637,0.97964,0.98873,0.83443,0.015184,0.0030788,0.001601,0.00739,0.00739,0.00739,,0.6639316,,,0.8404205
147,0.021173,0.0060802,0.0053796,0.98131,0.98012,0.99094,0.83715,0.015075,0.0030528,0.0015779,0.007372,0.007372,0.007372,,0.6672908,,,0.842299
148,0.021344,0.0060021,0.0053209,0.98238,0.98551,0.9911,0.83811,0.015096,0.0030378,0.0014106,0.007354,0.007354,0.007354,,0.6680184,,,0.842435
